locus_name,Col_reads_Col_Cvi,Cvi_reads_Col_Cvi,Col_reads_Cvi_Col,Cvi_reads_Cvi_Col
AT2G14835,436,450,676,697
AT2G14850,19,27,29,27
AT2G14860,50,40,55,43
AT2G14878,236,50,263,89
AT2G14880,103,115,153,155
AT2G14890,4112,2128,3535,2309
AT2G14910,3,5,9,11
AT2G14960,29,1,41,9
AT2G15000,522,407,747,588
AT2G15010,6,12,6,11
AT2G15050,7,2,8,30
AT2G15230,209,124,250,229
AT2G15240,81,87,113,129
AT2G15270,50,75,94,112
AT2G15290,186,275,208,332
AT2G15292,287,445,270,533
AT2G15300,3,3,7,5
AT2G15320,11,8,13,7
AT2G15325,73,15,173,242
AT2G15400,222,108,198,88
AT2G15430,198,249,228,241
AT2G15440,3,3,13,10
AT2G15480,7,10,28,42
AT2G15490,28,16,125,94
AT2G15530,157,140,255,210
AT2G15555,112,3971,4,5023
AT2G15560,240,160,364,189
AT2G15570,31,16,32,23
AT2G15590,3,0,4,5
AT2G15630,22,16,34,50
AT2G15690,50,49,46,46
AT2G15695,29,26,55,71
AT2G15730,3,2,7,6
AT2G15740,0,1,5,8
AT2G15790,109,67,129,133
AT2G15820,223,175,356,330
AT2G15860,86,66,110,116
AT2G15880,12,7,31,54
AT2G15890,236,88,387,275
AT2G15900,57,45,92,77
AT2G15910,235,155,241,188
AT2G15970,234,168,367,346
AT2G15980,76,38,99,65
AT2G16070,176,76,187,152
AT2G16090,410,249,490,439
AT2G16140,0,20,0,100
AT2G16220,2,1,18,19
AT2G16230,16,13,7,15
AT2G16250,45,27,54,48
AT2G16270,31,12,56,15
AT2G16280,142,103,196,178
AT2G16340,0,5,0,12
AT2G16365,142,86,223,179
AT2G16370,154,99,192,145
AT2G16390,118,83,187,180
AT2G16400,114,86,145,134
AT2G16405,28,30,33,30
AT2G16430,261,187,380,337
AT2G16440,28,26,56,47
AT2G16485,152,152,238,270
AT2G16500,26,31,63,48
AT2G16530,6,2,9,3
AT2G16570,224,179,268,236
AT2G16580,90,54,80,47
AT2G16595,22,33,24,26
AT2G16600,448,286,1115,860
AT2G16630,2,0,6,3
AT2G16640,108,76,194,152
AT2G16650,222,159,406,328
AT2G16660,79,95,104,102
AT2G16710,26,23,41,62
AT2G16760,438,276,538,367
AT2G16770,28,7,26,10
AT2G16780,632,674,663,816
AT2G16790,3,3,8,4
AT2G16800,330,224,405,336
AT2G16850,673,742,913,924
AT2G16860,206,233,289,310
AT2G16870,2,1,5,7
AT2G16880,42,38,84,61
AT2G16900,151,80,252,140
AT2G16920,60,53,69,71
AT2G16930,34,32,78,82
AT2G16940,146,126,189,195
AT2G16950,64,60,85,91
AT2G16990,39,20,74,49
AT2G17010,2,8,1,10
AT2G17020,46,29,66,42
AT2G17030,12,12,21,21
AT2G17033,46,67,106,127
AT2G17036,5,1,5,4
AT2G17070,2,8,3,21
AT2G17080,3,3,2,5
AT2G17110,49,29,91,60
AT2G17120,1081,1066,1474,1521
AT2G17130,35,31,35,46
AT2G17140,8,5,19,20
AT2G17190,35,34,35,57
AT2G17200,32,24,38,53
AT2G17210,2,3,2,5
AT2G17220,53,48,62,54
AT2G17230,40,38,52,43
AT2G17240,809,472,1016,626
AT2G17250,741,419,755,627
AT2G17260,49,23,60,50
AT2G17265,1165,1014,1565,1598
AT2G17270,42,29,40,47
AT2G17280,27,20,29,35
AT2G17290,70,31,106,68
AT2G17300,2,2,5,2
AT2G17305,0,0,16,14
AT2G17310,4,0,15,4
AT2G17320,7,10,22,29
AT2G17340,56,47,74,72
AT2G17350,52,57,69,78
AT2G17360,956,546,1549,1072
AT2G17370,5,1,6,3
AT2G17380,182,157,259,238
AT2G17390,424,372,612,602
AT2G17410,213,283,296,344
AT2G17420,28,33,55,60
AT2G17440,48,14,77,33
AT2G17442,18,13,24,23
AT2G17480,124,98,148,170
AT2G17510,65,36,61,70
AT2G17520,576,665,898,1199
AT2G17525,6,12,13,24
AT2G17530,36,42,72,87
AT2G17540,84,29,112,70
AT2G17560,2239,1532,2208,1832
AT2G17570,112,90,134,136
AT2G17580,367,220,431,362
AT2G17620,5,5,10,9
AT2G17630,290,205,366,286
AT2G17640,81,64,135,184
AT2G17650,327,173,438,200
AT2G17660,301,232,182,127
AT2G17670,32,36,61,65
AT2G17690,18,5,18,47
AT2G17695,122,65,174,108
AT2G17700,499,299,690,442
AT2G17705,83,54,99,84
AT2G17710,22,3,27,42
AT2G17723,35,0,80,43
AT2G17730,52,24,67,34
AT2G17750,61,17,65,93
AT2G17760,56,32,100,63
AT2G17787,78,41,121,63
AT2G17790,226,200,251,252
AT2G17800,258,198,250,235
AT2G17820,2,1,7,2
AT2G17830,24,25,24,20
AT2G17840,288,323,160,216
AT2G17860,3,1,5,3
AT2G17870,309,242,446,368
AT2G17880,46,42,178,149
AT2G17900,50,20,69,34
AT2G17930,531,554,512,632
AT2G17970,66,43,120,112
AT2G17972,12,50,37,49
AT2G17980,130,91,165,164
AT2G17990,117,59,149,115
AT2G18020,2412,2401,3495,3488
AT2G18030,77,44,90,68
AT2G18090,746,475,908,756
AT2G18100,26,15,88,27
AT2G18110,471,266,691,434
AT2G18120,25,5,55,10
AT2G18193,2,7,3,8
AT2G18220,132,115,192,184
AT2G18230,76,80,127,95
AT2G18240,15,6,36,24
AT2G18245,4,9,5,16
AT2G18250,68,49,97,82
AT2G18280,25,9,31,40
AT2G18290,43,41,34,46
AT2G18330,121,79,140,121
AT2G18350,29,31,58,71
AT2G18390,182,106,294,208
AT2G18400,858,499,950,674
AT2G18410,359,143,395,237
AT2G18440,341,755,384,1685
AT2G18465,50,48,52,63
AT2G18500,10,11,28,33
AT2G18520,16,15,27,25
AT2G18600,6,35,2,23
AT2G18630,593,291,753,405
AT2G18650,116,64,155,95
AT2G18670,49,24,32,31
AT2G18700,44,40,143,162
AT2G18710,211,174,249,236
AT2G18730,93,60,99,136
AT2G18735,4,7,7,7
AT2G18750,222,117,337,216
AT2G18760,39,38,44,62
AT2G18780,23,15,25,22
AT2G18790,1347,1011,2013,1755
AT2G18840,26,20,12,28
AT2G18850,41,18,34,27
AT2G18860,18,15,30,46
AT2G18876,26,11,42,18
AT2G18900,722,451,739,639
AT2G18910,224,159,246,211
AT2G18915,278,216,412,390
AT2G18917,10,7,9,3
AT2G18940,73,63,115,129
AT2G18950,126,92,136,144
AT2G18960,563,581,716,823
AT2G18990,580,327,647,457
AT2G19070,3,0,3,17
AT2G19080,112,78,129,145
AT2G19090,284,250,346,352
AT2G19110,90,43,156,138
AT2G19120,69,47,80,88
AT2G19160,28,28,39,37
AT2G19170,11,13,37,22
AT2G19180,85,73,119,104
AT2G19240,8,12,11,15
AT2G19260,63,29,75,72
AT2G19270,353,256,477,414
AT2G19280,82,59,122,134
AT2G19310,11,15,29,29
AT2G19340,12,12,20,13
AT2G19350,31,13,44,67
AT2G19380,2,4,2,11
AT2G19390,44,37,74,52
AT2G19400,2,3,6,10
AT2G19430,57,55,57,67
AT2G19450,45,40,66,58
AT2G19470,0,1,7,5
AT2G19480,405,352,549,491
AT2G19490,40,26,62,40
AT2G19520,266,271,323,321
AT2G19530,100,105,153,140
AT2G19540,570,586,671,703
AT2G19560,13,30,14,40
AT2G19570,1,0,7,10
AT2G19590,12,5,16,12
AT2G19600,191,169,251,238
AT2G19640,41,39,40,49
AT2G19650,37,25,77,66
AT2G19660,28,32,26,35
AT2G19670,269,241,257,366
AT2G19680,103,78,126,127
AT2G19690,6,14,12,8
AT2G19710,230,103,251,141
AT2G19720,370,217,440,371
AT2G19730,6948,3483,8088,5435
AT2G19740,1105,411,1043,441
AT2G19750,524,270,551,445
AT2G19760,1406,1071,1802,1885
AT2G19780,9,9,13,15
AT2G19790,28,18,37,36
AT2G19796,41,2,102,450
AT2G19800,107,20,699,393
AT2G19830,56,18,59,20
AT2G19860,89,66,139,104
AT2G19870,223,135,251,232
AT2G19880,46,45,68,63
AT2G19900,4,0,7,3
AT2G19910,54,13,90,22
AT2G19920,49,24,86,66
AT2G19930,114,148,191,301
AT2G19940,349,233,375,324
AT2G19950,132,99,196,213
AT2G19970,9,0,24,29
AT2G20000,75,58,112,80
AT2G20010,82,79,103,93
AT2G20020,234,226,396,358
AT2G20050,219,196,312,335
AT2G20060,548,409,708,610
AT2G20100,28,19,42,33
AT2G20110,12,20,18,40
AT2G20120,30,4,43,14
AT2G20130,20,7,26,21
AT2G20140,851,696,1076,1102
AT2G20142,16,7,26,9
AT2G20160,1,0,11,15
AT2G20170,8,1,64,73
AT2G20180,23,18,23,27
AT2G20190,156,116,185,208
AT2G20210,61,29,93,69
AT2G20230,341,241,507,352
AT2G20240,80,59,88,116
AT2G20260,1149,1347,2116,2339
AT2G20280,107,102,164,169
AT2G20290,16,2,13,23
AT2G20300,225,157,279,264
AT2G20310,42,39,52,61
AT2G20320,45,33,71,56
AT2G20330,122,102,182,194
AT2G20340,29,20,37,37
AT2G20360,158,96,92,67
AT2G20370,157,120,200,166
AT2G20390,156,142,184,165
AT2G20400,87,130,56,157
AT2G20410,6,19,22,19
AT2G20420,306,223,284,332
AT2G20440,12,8,14,15
AT2G20450,583,473,850,953
AT2G20490,286,247,335,365
AT2G20495,20,13,27,24
AT2G20515,37,19,43,31
AT2G20530,353,263,326,328
AT2G20540,4,4,6,1
AT2G20550,6,3,10,5
AT2G20560,55,43,203,168
AT2G20570,179,118,260,177
AT2G20580,950,859,1193,1312
AT2G20585,23,18,32,35
AT2G20590,250,174,288,204
AT2G20605,1,0,13,0
AT2G20610,51,32,71,40
AT2G20635,73,57,66,73
AT2G20650,8,3,10,10
AT2G20680,2,3,7,3
AT2G20721,13,20,17,13
AT2G20725,25,31,25,37
AT2G20760,84,105,120,148
AT2G20770,4,10,11,11
AT2G20780,11,5,16,13
AT2G20790,25,23,41,27
AT2G20815,7,2,14,11
AT2G20820,244,176,378,350
AT2G20830,57,48,98,77
AT2G20850,9,2,6,4
AT2G20900,7,5,11,18
AT2G20920,79,89,111,109
AT2G20930,170,140,159,184
AT2G20940,75,48,79,71
AT2G20950,74,61,97,115
AT2G20980,14,14,17,19
AT2G20990,142,103,173,179
AT2G21050,1704,1121,1986,1506
AT2G21060,1228,776,2149,1307
AT2G21070,186,102,211,172
AT2G21080,32,14,59,45
AT2G21090,259,187,311,241
AT2G21120,281,227,361,336
AT2G21130,104,70,99,90
AT2G21150,70,57,68,59
AT2G21160,2523,1767,2669,2044
AT2G21170,400,399,533,642
AT2G21190,45,55,43,86
AT2G21195,4,6,28,22
AT2G21230,5,3,19,24
AT2G21240,65,41,100,77
AT2G21250,161,121,203,140
AT2G21260,19,20,23,29
AT2G21270,682,646,868,879
AT2G21280,100,107,138,178
AT2G21300,75,106,157,143
AT2G21320,17,19,38,32
AT2G21330,543,603,1388,1717
AT2G21340,322,300,451,477
AT2G21350,47,32,54,29
AT2G21370,139,78,181,124
AT2G21380,60,43,75,78
AT2G21385,115,87,117,90
AT2G21390,215,183,332,310
AT2G21410,105,83,145,113
AT2G21420,21,6,24,70
AT2G21440,62,50,94,61
AT2G21470,13,13,20,13
AT2G21490,22,47,26,50
AT2G21500,162,126,189,134
AT2G21510,7,5,7,15
AT2G21520,269,203,374,359
AT2G21530,91,85,148,143
AT2G21540,18,7,23,31
AT2G21580,4,4,5,7
AT2G21590,13,22,14,20
AT2G21600,35,23,24,33
AT2G21620,33,52,53,70
AT2G21640,8,11,24,23
AT2G21770,72,40,61,87
AT2G21790,423,340,446,482
AT2G21800,46,39,66,75
AT2G21830,50,11,56,11
AT2G21840,0,9,0,19
AT2G21850,7,17,6,20
AT2G21860,675,181,825,273
AT2G21870,1848,1223,2496,1641
AT2G21940,8,11,14,19
AT2G21950,75,32,123,69
AT2G21960,34,44,84,74
AT2G22000,52,48,81,66
AT2G22010,34,34,54,75
AT2G22040,1,0,5,5
AT2G22070,2,2,6,6
AT2G22090,57,57,71,89
AT2G22100,15,3,8,11
AT2G22120,33,35,39,54
AT2G22125,151,131,211,205
AT2G22140,5,8,5,11
AT2G22170,42,33,23,13
AT2G22190,5,7,2,1
AT2G22230,2203,1655,2172,1972
AT2G22240,1860,2878,2206,4242
AT2G22250,280,233,357,361
AT2G22260,38,43,68,66
AT2G22270,75,34,116,87
AT2G22300,41,41,89,102
AT2G22360,22,18,22,19
AT2G22400,171,150,234,270
AT2G22420,93,92,185,285
AT2G22425,7,2,5,2
AT2G22430,422,410,646,734
AT2G22450,23,30,44,51
AT2G22470,8,6,12,3
AT2G22475,79,62,102,116
AT2G22490,52,32,66,65
AT2G22496,1,1,2,7
AT2G22500,544,365,493,435
AT2G22530,124,130,228,238
AT2G22540,50,17,93,51
AT2G22560,25,17,26,30
AT2G22570,77,84,122,136
AT2G22590,8,3,8,4
AT2G22600,215,160,203,197
AT2G22610,243,183,296,301
AT2G22620,31,12,32,43
AT2G22640,64,44,105,87
AT2G22650,75,74,91,129
AT2G22660,3318,4253,5226,10062
AT2G22670,3578,2911,4340,3860
AT2G22680,69,79,123,131
AT2G22690,0,5,8,10
AT2G22720,199,170,306,286
AT2G22730,1,1,4,6
AT2G22740,73,58,96,117
AT2G22770,3,3,11,6
AT2G22780,1032,605,1589,1127
AT2G22790,15,12,21,10
AT2G22795,182,204,235,287
AT2G22821,5,4,7,10
AT2G22830,13,11,20,19
AT2G22840,334,151,501,247
AT2G22870,16,23,6,14
AT2G22910,172,180,243,284
AT2G22980,0,4,0,32
AT2G22990,5,1,18,12
AT2G23000,3,2,2,5
AT2G23050,224,66,248,133
AT2G23060,8,3,29,4
AT2G23070,167,137,205,223
AT2G23080,55,26,62,57
AT2G23093,12,11,4,9
AT2G23110,4,1,15,4
AT2G23120,1115,208,852,200
AT2G23130,27,5,20,3
AT2G23140,294,184,300,300
AT2G23150,27,14,40,29
AT2G23170,190,128,448,403
AT2G23180,3,2,11,7
AT2G23200,26,31,28,54
AT2G23220,2,48,4,26
AT2G23230,2,0,20,0
AT2G23240,37,0,98,0
AT2G23260,26,0,49,12
AT2G23290,148,119,244,188
AT2G23300,31,26,27,33
AT2G23310,385,217,480,392
AT2G23320,908,773,1361,1209
AT2G23321,7,0,8,2
AT2G23340,23,26,40,54
AT2G23350,104,101,117,103
AT2G23360,539,451,827,698
AT2G23370,62,68,74,61
AT2G23380,69,58,88,75
AT2G23390,17,11,21,34
AT2G23420,78,70,183,145
AT2G23430,28,15,18,24
AT2G23450,24,27,47,51
AT2G23460,61,84,80,105
AT2G23470,27,11,28,23
AT2G23510,205,149,184,126
AT2G23520,49,45,61,77
AT2G23530,54,37,68,68
AT2G23550,2,1,2,8
AT2G23640,88,17,76,14
AT2G23700,19,17,22,29
AT2G23740,212,174,340,343
AT2G23760,42,21,52,48
AT2G23770,0,2,7,12
AT2G23780,18,21,20,54
AT2G23790,87,58,181,154
AT2G23820,108,82,77,102
AT2G23840,3,1,11,1
AT2G23910,67,36,100,115
AT2G23930,748,556,991,835
AT2G23940,59,39,61,69
AT2G23945,1,3,8,5
AT2G23950,43,40,60,67
AT2G23980,229,147,307,325
AT2G23985,13,2,7,3
AT2G23990,1,0,5,19
AT2G24010,3,2,5,2
AT2G24020,1130,1040,1763,1466
AT2G24030,27,29,51,38
AT2G24050,107,82,142,151
AT2G24060,148,173,215,357
AT2G24070,23,22,36,41
AT2G24090,421,334,625,578
AT2G24100,73,52,116,92
AT2G24120,103,65,148,127
AT2G24150,141,156,201,260
AT2G24170,70,71,101,123
AT2G24180,90,126,140,151
AT2G24190,34,19,46,29
AT2G24220,1,8,9,6
AT2G24230,29,22,65,54
AT2G24250,7,9,15,13
AT2G24260,1,2,6,3
AT2G24270,190,229,214,284
AT2G24290,107,94,182,149
AT2G24300,14,2,28,15
AT2G24310,86,83,99,105
AT2G24320,5,4,7,23
AT2G24330,163,168,148,197
AT2G24350,10,6,5,9
AT2G24390,22,13,38,39
AT2G24500,78,107,95,133
AT2G24520,8,4,21,14
AT2G24570,57,53,86,84
AT2G24590,93,115,92,110
AT2G24600,90,81,106,118
AT2G24610,26,21,35,30
AT2G24630,5,9,17,17
AT2G24640,45,40,85,67
AT2G24645,270,215,310,314
AT2G24650,137,47,173,121
AT2G24680,24,20,31,67
AT2G24681,8,7,13,8
AT2G24683,1,17,4,11
AT2G24690,135,113,248,159
AT2G24693,0,0,0,11
AT2G24700,334,646,536,1187
AT2G24755,20,17,18,21
AT2G24762,37,32,188,234
AT2G24765,400,376,424,522
AT2G24790,1684,862,2499,1543
AT2G24800,36,62,46,67
AT2G24830,12,2,17,8
AT2G24860,2,4,3,7
AT2G24950,10,0,35,33
AT2G24960,2,8,6,4
AT2G25010,98,47,133,95
AT2G25050,66,22,82,36
AT2G25060,638,624,663,767
AT2G25070,34,46,47,69
AT2G25080,167,159,219,236
AT2G25110,499,374,543,544
AT2G25130,15,14,37,11
AT2G25140,145,118,236,221
AT2G25170,1284,842,1512,1330
AT2G25180,340,254,532,452
AT2G25190,14,24,19,20
AT2G25210,1026,537,1149,1104
AT2G25220,6,3,9,7
AT2G25250,358,317,247,228
AT2G25260,12,3,16,2
AT2G25270,507,275,639,406
AT2G25280,421,441,546,648
AT2G25290,26,16,46,25
AT2G25300,54,34,90,66
AT2G25310,250,145,264,227
AT2G25320,90,85,145,127
AT2G25350,29,27,49,55
AT2G25420,195,227,293,396
AT2G25430,102,129,144,197
AT2G25450,77,0,0,8
AT2G25460,16,23,24,26
AT2G25480,101,104,111,160
AT2G25490,1142,981,1328,1327
AT2G25520,1108,888,1490,1185
AT2G25530,147,136,241,280
AT2G25540,11,0,1,38
AT2G25560,65,64,108,97
AT2G25570,90,76,164,145
AT2G25580,30,26,35,36
AT2G25590,6,3,26,7
AT2G25605,92,44,158,103
AT2G25610,121,70,211,118
AT2G25620,153,157,190,228
AT2G25640,247,231,354,361
AT2G25650,813,461,1033,691
AT2G25660,182,149,182,192
AT2G25670,19,32,34,43
AT2G25680,12,8,22,17
AT2G25685,4,1,17,1
AT2G25690,235,147,277,214
AT2G25700,8,0,14,8
AT2G25710,113,97,212,211
AT2G25720,82,75,104,106
AT2G25730,297,247,408,418
AT2G25737,215,105,277,169
AT2G25740,57,54,95,63
AT2G25760,204,155,284,257
AT2G25770,78,67,122,92
AT2G25790,52,46,94,64
AT2G25800,302,211,490,478
AT2G25840,52,53,60,83
AT2G25850,3,7,15,4
AT2G25870,153,69,140,102
AT2G25880,359,236,478,379
AT2G25900,907,832,2062,2478
AT2G25910,224,196,315,318
AT2G25920,59,18,95,58
AT2G25930,59,81,78,105
AT2G25940,15,3,49,79
AT2G25950,123,95,138,161
AT2G25964,90,177,177,372
AT2G25970,402,401,571,587
AT2G25980,41,34,42,43
AT2G26000,13,15,25,37
AT2G26030,50,23,124,75
AT2G26040,54,17,66,38
AT2G26060,72,69,88,116
AT2G26080,623,427,1189,1062
AT2G26100,16,17,24,24
AT2G26140,223,135,299,245
AT2G26150,501,332,1193,916
AT2G26170,3,5,4,4
AT2G26180,118,57,114,102
AT2G26190,35,44,63,60
AT2G26200,415,381,518,578
AT2G26210,266,244,403,383
AT2G26230,299,210,363,424
AT2G26240,449,219,510,321
AT2G26250,1321,1290,1669,1884
AT2G26260,79,40,120,78
AT2G26270,89,66,115,112
AT2G26280,497,392,749,732
AT2G26300,116,135,185,226
AT2G26310,13,11,9,20
AT2G26320,6,0,7,16
AT2G26330,345,278,566,478
AT2G26340,57,43,68,70
AT2G26355,126,52,262,139
AT2G26360,4,4,7,22
AT2G26430,45,49,74,105
AT2G26440,181,111,188,181
AT2G26450,21,43,24,78
AT2G26460,192,158,299,201
AT2G26470,163,128,208,142
AT2G26510,158,110,208,149
AT2G26520,90,72,115,105
AT2G26540,74,52,96,93
AT2G26550,25,24,39,53
AT2G26570,29,26,41,70
AT2G26600,45,59,51,84
AT2G26640,1431,1319,1611,1669
AT2G26650,137,158,249,207
AT2G26680,84,88,115,95
AT2G26700,13,19,22,43
AT2G26710,44,37,75,75
AT2G26730,101,85,99,130
AT2G26740,19,10,21,22
AT2G26760,659,707,803,1012
AT2G26770,349,199,442,372
AT2G26780,363,312,420,480
AT2G26790,88,75,92,95
AT2G26800,203,158,303,315
AT2G26810,97,51,142,89
AT2G26830,148,176,164,197
AT2G26840,318,271,328,300
AT2G26860,15,12,21,26
AT2G26870,16,12,28,36
AT2G26890,184,177,236,274
AT2G26900,313,179,312,254
AT2G26910,22,16,38,23
AT2G26920,48,37,54,79
AT2G26930,46,51,66,65
AT2G26970,17,19,28,43
AT2G26975,23,68,39,127
AT2G26980,191,87,243,146
AT2G26990,456,183,580,318
AT2G27020,194,124,154,128
AT2G27030,98,58,131,142
AT2G27040,3309,2275,3613,3079
AT2G27050,164,134,388,357
AT2G27060,250,185,466,326
AT2G27080,409,285,269,199
AT2G27090,44,34,91,69
AT2G27100,4,4,17,11
AT2G27110,74,66,92,98
AT2G27120,11,0,11,10
AT2G27130,7,8,14,3
AT2G27150,76,33,165,117
AT2G27170,148,177,197,272
AT2G27180,16,8,17,17
AT2G27190,286,87,449,204
AT2G27200,213,168,303,322
AT2G27210,111,63,159,151
AT2G27260,617,452,637,655
AT2G27270,1,1,7,4
AT2G27280,1,0,6,4
AT2G27285,239,198,333,322
AT2G27290,385,308,552,576
AT2G27310,6,1,2,15
AT2G27330,50,49,49,42
AT2G27340,19,8,41,20
AT2G27350,60,80,67,119
AT2G27360,103,39,108,63
AT2G27380,12,1,32,45
AT2G27385,1129,489,1570,966
AT2G27400,80,99,138,217
AT2G27460,54,36,71,79
AT2G27470,44,25,59,20
AT2G27480,17,16,18,22
AT2G27490,90,108,144,198
AT2G27500,18,4,48,14
AT2G27510,653,428,407,366
AT2G27580,260,274,371,461
AT2G27590,102,66,122,82
AT2G27600,870,541,1009,769
AT2G27610,88,48,107,97
AT2G27630,6,4,16,4
AT2G27680,81,68,129,111
AT2G27690,128,81,109,79
AT2G27700,14,2,43,32
AT2G27710,10906,6669,12116,8233
AT2G27720,3323,2240,4459,3971
AT2G27730,29,27,83,83
AT2G27760,5,5,11,13
AT2G27770,8,7,1,9
AT2G27775,58,7,59,2
AT2G27790,16,1,17,1
AT2G27800,8,0,15,0
AT2G27810,289,234,381,363
AT2G27820,411,365,457,494
AT2G27830,52,59,75,138
AT2G27840,485,285,614,432
AT2G27860,822,779,984,963
AT2G27880,9,3,13,11
AT2G27900,78,61,61,73
AT2G27940,3,0,14,7
AT2G27950,53,48,102,81
AT2G27970,622,423,686,659
AT2G27980,46,38,73,89
AT2G27990,10,13,16,8
AT2G28000,3459,2182,5025,3984
AT2G28050,9,4,8,10
AT2G28060,16,6,29,9
AT2G28070,177,96,237,151
AT2G28080,76,42,74,46
AT2G28100,72,54,111,111
AT2G28105,3,0,3,6
AT2G28120,3,0,5,8
AT2G28130,69,58,126,126
AT2G28140,38,5,60,17
AT2G28150,594,297,892,551
AT2G28160,8,0,7,0
AT2G28190,2555,1861,5359,4777
AT2G28220,4,1,5,3
AT2G28240,55,37,68,50
AT2G28250,127,64,221,191
AT2G28290,694,536,816,732
AT2G28305,3,1,5,4
AT2G28310,4,2,9,2
AT2G28320,27,28,39,50
AT2G28330,165,65,175,86
AT2G28350,97,63,144,130
AT2G28360,57,32,82,94
AT2G28380,241,283,273,286
AT2G28390,124,102,162,167
AT2G28400,23,21,43,32
AT2G28420,19,28,12,24
AT2G28430,121,91,155,122
AT2G28440,13,8,36,18
AT2G28450,127,127,209,206
AT2G28470,675,476,1074,995
AT2G28480,74,47,101,102
AT2G28490,441,499,478,582
AT2G28500,2,4,0,6
AT2G28510,51,49,41,47
AT2G28520,42,38,47,58
AT2G28540,94,80,112,130
AT2G28550,289,202,501,410
AT2G28590,27,19,74,32
AT2G28600,372,267,378,355
AT2G28605,238,185,403,378
AT2G28610,6,4,10,6
AT2G28620,1690,859,1991,1383
AT2G28630,31,29,43,36
AT2G28650,7,4,2,27
AT2G28660,12,12,5,10
AT2G28670,6,5,11,3
AT2G28720,58,50,77,46
AT2G28740,6,3,1,4
AT2G28760,16,7,29,18
AT2G28790,531,463,670,711
AT2G28800,155,93,201,219
AT2G28810,2,1,5,3
AT2G28830,46,44,83,103
AT2G28840,239,146,340,277
AT2G28880,113,74,173,146
AT2G28890,61,53,117,73
AT2G28900,282,140,382,210
AT2G28910,94,77,214,171
AT2G28930,33,26,40,55
AT2G28940,1,1,4,6
AT2G28950,1318,941,2026,1543
AT2G29020,42,62,68,85
AT2G29050,46,37,65,56
AT2G29060,1,3,7,11
AT2G29065,11,8,25,17
AT2G29070,0,2,4,8
AT2G29080,888,626,1162,1132
AT2G29090,2,0,5,4
AT2G29140,126,51,176,98
AT2G29190,114,60,80,111
AT2G29200,20,25,26,44
AT2G29210,29,35,40,46
AT2G29330,53,1,53,3
AT2G29340,8,23,13,64
AT2G29390,80,86,132,158
AT2G29420,34,13,42,19
AT2G29450,522,796,1002,1801
AT2G29460,16,20,17,30
AT2G29480,3,0,10,1
AT2G29500,13,6,103,10
AT2G29510,250,176,302,252
AT2G29525,8,12,11,23
AT2G29550,4272,3274,4703,4710
AT2G29560,413,387,475,626
AT2G29570,290,210,266,256
AT2G29580,6,3,13,10
AT2G29590,32,48,77,75
AT2G29630,757,488,921,732
AT2G29650,4,7,7,11
AT2G29660,13,5,15,14
AT2G29670,339,273,380,281
AT2G29680,73,41,106,88
AT2G29690,450,227,526,398
AT2G29700,249,207,284,287
AT2G29720,1,2,5,7
AT2G29750,2,6,6,13
AT2G29760,5,13,13,15
AT2G29900,40,33,47,58
AT2G29910,17,15,30,18
AT2G29950,0,5,2,8
AT2G29960,24,40,32,49
AT2G29970,33,31,40,49
AT2G29990,33,34,71,78
AT2G30000,156,126,198,159
AT2G30010,39,29,38,30
AT2G30040,100,29,195,63
AT2G30050,752,462,884,746
AT2G30060,89,56,78,111
AT2G30070,114,48,167,135
AT2G30100,25,16,62,42
AT2G30105,12,10,18,34
AT2G30110,294,282,339,405
AT2G30120,27,24,46,33
AT2G30140,9,2,11,2
AT2G30160,3,8,6,12
AT2G30200,974,955,1037,1171
AT2G30260,810,803,979,1061
AT2G30270,34,14,44,13
AT2G30280,45,21,35,29
AT2G30320,60,35,82,55
AT2G30330,3,6,3,6
AT2G30340,5,2,4,4
AT2G30370,19,15,22,15
AT2G30390,26,20,50,48
AT2G30410,181,96,242,149
AT2G30424,16,7,10,7
AT2G30440,253,196,390,344
AT2G30460,78,64,99,108
AT2G30470,192,160,215,207
AT2G30480,41,21,72,63
AT2G30490,1058,761,1296,998
AT2G30500,1092,717,2023,1610
AT2G30505,59,47,90,77
AT2G30520,1,0,18,12
AT2G30530,326,184,408,284
AT2G30560,4,3,4,4
AT2G30570,35,31,53,44
AT2G30575,144,107,191,205
AT2G30580,171,137,211,255
AT2G30590,387,301,474,525
AT2G30600,249,189,666,800
AT2G30615,7,5,24,16
AT2G30620,3962,2523,4906,3771
AT2G30630,2,2,6,2
AT2G30690,1,4,4,4
AT2G30700,57,12,35,30
AT2G30710,120,95,111,104
AT2G30720,47,29,49,56
AT2G30740,10,14,16,19
AT2G30780,49,45,71,57
AT2G30790,9,5,4,9
AT2G30800,5,4,12,9
AT2G30820,13,15,25,30
AT2G30910,46,12,65,52
AT2G30920,577,395,726,600
AT2G30933,2,2,11,9
AT2G30945,2,2,4,3
AT2G30950,214,144,219,246
AT2G30970,160,133,187,173
AT2G30980,1524,1118,1790,1779
AT2G30990,267,121,421,315
AT2G31010,147,87,187,162
AT2G31040,92,76,96,95
AT2G31060,85,57,101,93
AT2G31070,44,27,27,31
AT2G31100,4,4,5,10
AT2G31130,11,11,27,28
AT2G31140,12,10,49,44
AT2G31141,109,13,277,34
AT2G31150,81,66,159,181
AT2G31160,13,16,16,21
AT2G31170,4,8,9,5
AT2G31180,9,3,7,5
AT2G31190,12,11,20,23
